image_filename,timestamp,pm2.5,pm10,temperature,humidity,location
IMG_20191110_103543.jpg,2019-11-10 09:56:37.864574,43.9,75.9,20.423056382085907,51.94934004730297,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:38.815773,44.4,76.5,20.39635309376669,51.96459906919966,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:39.743464,44.6,76.5,20.423056382085907,52.00427252613108,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:40.681302,44.4,75.4,20.38300144960708,52.04089417868314,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:41.909214,44.6,76.3,20.409704737926305,52.14160372320134,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:42.826109,44.8,76.7,20.38300144960708,52.18280308232242,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:43.765101,45.0,76.8,20.39635309376669,52.20569161516747,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:44.712443,45.2,77.0,20.38300144960708,52.19348439765011,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:45.975434,45.0,75.9,20.38300144960708,52.19348439765011,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:46.912503,45.1,75.4,20.38300144960708,52.17059586480506,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:47.866337,45.4,75.8,20.366979476615555,52.159914549477385,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:48.803397,45.5,75.6,20.353627832455945,52.123292896925314,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:49.750742,45.6,75.8,20.32692454413672,52.06530861371786,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:50.693057,45.9,77.0,20.353627832455945,52.001220721751736,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:51.951115,46.7,77.9,20.32692454413672,51.88982986190585,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:52.883090,46.7,78.3,20.34027618829633,51.749446860456246,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:53.810021,47.5,77.6,20.310902571145192,51.55260547798886,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:54.761606,47.5,77.2,20.29755092698558,51.48241397726406,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:55.714110,47.2,76.9,20.28419928282597,51.39696345464256,location1
IMG_20191110_103543.jpg,2019-11-10 09:56:56.651261,46.9,76.6,20.28419928282597,51.35118638895246,location1
